Codeword,Es,SER,noise_power,Tx_SNR,Rx_SNR,PL,Avg_BER,BLER,Tx_EbN0,Rx_EbN0,Bit_Rate,N_subcarriers
4,0.6352150032982081,0.888671875,49.394180312726334,20,[0.00168743 0.00253021],14.057884460606935,0.6826171875,0.4166666666666667,14.210638075191753,-7.752499271478896,512000.0,9
5,0.6352150032982081,0.84765625,48.92585265200074,20,[0.04039962 0.06066728],9.741369401402423,0.6142578125,0.4166666666666667,14.210638075191753,-0.8554476973800994,512000.0,9
6,0.6352150032982081,0.888671875,48.87945765634066,20,[0.01729627 0.01892078],9.804944611011742,0.6708984375,0.4166666666666667,14.210638075191753,-2.9991695152311304,512000.0,9
7,0.6352150032982081,0.974609375,46.95291642046968,20,[0.00104708 0.00087698],11.531276083101254,0.80859375,0.4166666666666667,14.210638075191753,-9.385314038552622,512000.0,9
8,0.6352150032982081,0.7265625,46.779820106392535,20,[0.03429837 0.0092088 ],11.404984976590193,0.4892578125,0.4166666666666667,14.210638075191753,-3.4744833155809256,512000.0,9
9,0.6352150032982081,0.91796875,46.779820106392535,20,[0.00085418 0.00176486],13.541030737960895,0.7314453125,0.4166666666666667,14.210638075191753,-8.97847324048773,512000.0,9
10,0.6352150032982081,0.95703125,46.779820106392535,20,[6.74259276e-04 2.96372686e-05],12.31098447079468,0.8115234375,0.4166666666666667,14.210638075191753,-15.513280607076439,512000.0,9
11,0.6352150032982081,0.9140625,46.779820106392535,20,[0.00080272 0.00185099],18.902060554837917,0.732421875,0.4166666666666667,14.210638075191753,-9.038480109613516,512000.0,9
0,0.6352150032982081,0.970703125,56.779820106392535,10,[0.00051249 0.00230224],0.07227216976436068,0.833984375,0.25,4.210638075191754,-14.667060184859025,512000.0,9
1,0.6352150032982081,0.849609375,56.779820106392535,10,[0.01299598 0.09335552],1.8663337882239261,0.6318359375,0.25,4.210638075191754,-7.493034421729688,512000.0,9
2,0.6352150032982081,0.974609375,56.779820106392535,10,[0.00058934 0.00022008],10.318085599506674,0.8779296875,0.25,4.210638075191754,-16.75520451356053,512000.0,9
