Codeword,Es,SER,noise_power,Tx_SNR,Rx_SNR,PL,Avg_BER,BLER,Tx_EbN0,Rx_EbN0,Bit_Rate,N_subcarriers
2,1.4142135623730954,0.0,30.255762612236907,40,[0.3358537 0.4330807],17.20319657091907,0.0,0.0,37.220938031831565,16.615386381516274,512000.0,18
3,1.4142135623730954,0.0009765625,30.255762612236907,40,[0.41763378 0.42191835],17.32923537871622,0.00048828125,0.0,37.220938031831565,16.841119814609485,512000.0,18
4,1.4142135623730954,0.0,30.255762612236907,40,[0.31626469 0.36243987],17.44953349354116,0.0,0.0,37.220938031831565,16.36926750345618,512000.0,18
5,1.4142135623730954,0.0,30.255762612236907,40,[0.38941915 0.45515881],17.038030205832293,0.0,0.0,37.220938031831565,16.840940542906125,512000.0,18
6,1.4142135623730954,0.0009765625,30.255762612236907,40,[0.35975683 0.38846336],16.890255140741807,0.00048828125,0.0,37.220938031831565,16.58788639753751,512000.0,18
7,1.4142135623730954,0.0,30.255762612236907,40,[0.41222114 0.36033394],17.24212767726322,0.0,0.0,37.220938031831565,16.650767890496013,512000.0,18
8,1.4142135623730954,0.0009765625,30.255762612236907,40,[0.26983018 0.28785817],17.894175190844763,0.00048828125,0.0,37.220938031831565,15.950625522029789,512000.0,18
9,1.4142135623730954,0.001953125,30.255762612236907,40,[0.35336272 0.32212419],17.396652459732557,0.0009765625,0.0,37.220938031831565,16.364373632055624,512000.0,18
10,1.4142135623730954,0.001953125,30.255762612236907,40,[0.41978773 0.40182327],16.86165882916913,0.0009765625,0.0,37.220938031831565,16.793230907216753,512000.0,18
11,1.4142135623730954,0.0,30.255762612236907,40,[0.39544302 0.42997849],16.880059685916187,0.0,0.0,37.220938031831565,16.800512304567874,512000.0,18
0,1.4142135623730954,0.0810546875,35.25576261223691,35,[0.15889405 0.24719834],16.025499878902167,0.04052734375,0.25,32.220938031831565,12.658879706644576,512000.0,18
1,1.4142135623730954,0.0673828125,35.25576261223691,35,[0.08251909 0.05052147],17.57559389704607,0.0341796875,0.25,32.220938031831565,10.211469732253121,512000.0,18
2,1.4142135623730954,0.05078125,35.25576261223691,35,[0.05152145 0.10841057],17.18340982394662,0.02587890625,0.25,32.220938031831565,10.446859263033204,512000.0,18
3,1.4142135623730954,0.130859375,35.25576261223691,35,[0.17624611 0.1530522 ],15.76180186523726,0.0654296875,0.25,32.220938031831565,12.298086046566546,512000.0,18
4,1.4142135623730954,0.052734375,35.25576261223691,35,[0.0778135  0.09972225],17.31693202002316,0.0263671875,0.25,32.220938031831565,10.934043986002848,512000.0,18
5,1.4142135623730954,0.0400390625,35.25576261223691,35,[0.11586374 0.09961853],16.871171306489885,0.0205078125,0.25,32.220938031831565,11.375618668510867,512000.0,18
6,1.4142135623730954,0.0546875,35.25576261223691,35,[0.16067218 0.16372281],15.988919149887835,0.02783203125,0.25,32.220938031831565,12.276116681032718,512000.0,18
7,1.4142135623730954,0.0595703125,35.25576261223691,35,[0.21665631 0.22800222],15.668052780989655,0.0302734375,0.25,32.220938031831565,12.959656956768569,512000.0,18
8,1.4142135623730954,0.0986328125,35.25576261223691,35,[0.11186517 0.07552762],17.47488588245111,0.05029296875,0.25,32.220938031831565,11.0014770293473,512000.0,18
9,1.4142135623730954,0.0712890625,35.25576261223691,35,[0.09978616 0.05793051],18.036246804208524,0.0361328125,0.25,32.220938031831565,10.551738255216435,512000.0,18
10,1.4142135623730954,0.1328125,35.25576261223691,35,[0.08587573 0.07757325],16.770930122342456,0.06640625,0.25,32.220938031831565,10.782239010764357,512000.0,18
11,1.4142135623730954,0.0498046875,35.25576261223691,35,[0.07068188 0.08996222],17.234630688838706,0.02490234375,0.25,32.220938031831565,10.71875534145957,512000.0,18
0,1.4142135623730954,0.3076171875,40.25576261223691,30,[0.0047788  0.01287361],18.60233369788392,0.16064453125,0.3333333333333333,27.220938031831565,2.942314417310996,512000.0,18
1,1.4142135623730954,0.3095703125,40.25576261223691,30,[0.08906312 0.06291287],15.721424684568717,0.166015625,0.3333333333333333,27.220938031831565,8.064550074704755,512000.0,18
2,1.4142135623730954,0.3408203125,40.25576261223691,30,[0.13043377 0.18140882],13.864583502053819,0.18701171875,0.3333333333333333,27.220938031831565,9.631803044436284,512000.0,18
3,1.4142135623730954,0.2666015625,40.25576261223691,30,[0.11853314 0.09129293],14.27466027882084,0.142578125,0.3333333333333333,27.220938031831565,8.793325416579385,512000.0,18
4,1.4142135623730954,0.28125,40.25576261223691,30,[0.08502025 0.06275842],15.799957882827428,0.15185546875,0.3333333333333333,27.220938031831565,8.019151048605167,512000.0,18
5,1.4142135623730954,0.22265625,40.25576261223691,30,[0.03367742 0.03782742],16.064536274720886,0.11865234375,0.3333333333333333,27.220938031831565,6.485288428545829,512000.0,18
6,1.4142135623730954,0.251953125,40.25576261223691,30,[0.00481333 0.00408247],16.03850748899802,0.13623046875,0.3333333333333333,27.220938031831565,1.952157502060786,512000.0,18
7,1.4142135623730954,0.365234375,40.25576261223691,30,[0.02540805 0.04907851],16.708875196386536,0.2109375,0.3333333333333333,27.220938031831565,6.350161840811623,512000.0,18
8,1.4142135623730954,0.447265625,40.25576261223691,30,[0.04523291 0.03004974],16.9653580227275,0.2412109375,0.3333333333333333,27.220938031831565,6.514239515149932,512000.0,18
9,1.4142135623730954,0.3955078125,40.25576261223691,30,[0.04652417 0.07283277],16.06032516762943,0.22900390625,0.3333333333333333,27.220938031831565,7.49702690091516,512000.0,18
10,1.4142135623730954,0.4365234375,40.25576261223691,30,[0.02653833 0.02472582],17.741875001761194,0.24755859375,0.3333333333333333,27.220938031831565,5.767290604301763,512000.0,18
11,1.4142135623730954,0.322265625,40.25576261223691,30,[0.06171226 0.10511013],15.670148225697204,0.1748046875,0.3333333333333333,27.220938031831565,8.180046400682038,512000.0,18
0,1.4142135623730954,0.7080078125,50.25576261223691,20,[0.00100219 0.00701687],12.00366354682614,0.45068359375,0.5,17.220938031831565,-5.053906474290542,512000.0,18
1,1.4142135623730954,0.6875,50.25576261223691,20,[0.00359389 0.00189142],13.431806700842728,0.4501953125,0.5,17.220938031831565,-4.303007980422194,512000.0,18
